City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,puerto aysen,-45.4,-72.7,2.06,99,100,2.23,CL,1699932767
251,naze,28.3667,129.4833,18.51,57,79,3.34,JP,1699932701
252,tomatlan,19.9333,-105.25,24.3,85,8,1.16,MX,1699932768
253,shalqar,47.8333,59.6,4.42,79,91,6.43,KZ,1699932769
254,dunedin,-45.8742,170.5036,16.0,67,100,2.68,NZ,1699932608
255,bairnsdale,-37.8333,147.6167,17.25,68,100,0.89,AU,1699932770
256,magnitogorsk,53.4186,59.0472,3.2,93,100,8.0,RU,1699932770
257,acarau,-2.8856,-40.12,26.4,78,92,6.34,BR,1699932770
258,vinton,37.281,-79.897,13.36,51,0,5.14,US,1699932771
259,kapuskasing,49.4169,-82.4331,1.05,93,100,3.6,CA,1699932771
260,mengibar,37.9701,-3.7965,16.03,100,74,1.16,ES,1699932772
261,badagry,6.4167,2.8833,26.25,86,32,1.06,NG,1699932772
262,ilheus,-14.7889,-39.0494,21.88,90,22,2.1,BR,1699932773
263,parfino,57.9731,31.6481,0.97,96,100,2.46,RU,1699932773
264,mount gambier,-37.8333,140.7667,17.43,51,100,3.13,AU,1699932774
265,sikonge,-5.6333,32.7667,18.58,94,97,1.02,TZ,1699932774
266,saint-pierre,-21.3393,55.4781,26.43,50,45,3.09,RE,1699932775
267,salinopolis,-0.6136,-47.3561,25.81,82,67,3.68,BR,1699932775
268,korsholm,63.1142,21.6822,-1.17,90,100,2.68,FI,1699932535
269,tehran,35.6944,51.4215,12.99,50,49,2.06,IR,1699932711
270,wau,7.7029,27.9953,24.96,75,90,1.18,SS,1699932777
271,arteche,12.2645,125.4048,28.14,87,100,3.5,PH,1699932777
272,cockburn town,21.4612,-71.1419,27.84,76,8,8.33,TC,1699932610
273,portland,45.5234,-122.6762,9.49,90,0,2.24,US,1699932684
274,kiunga,-6.1219,141.2906,34.14,44,76,1.25,PG,1699932779
275,ancud,-41.8697,-73.8203,5.85,70,31,3.43,CL,1699932779
276,ballina,-28.8667,153.5667,27.66,70,43,6.32,AU,1699932780
277,ulcinj,41.9294,19.2244,8.12,76,88,2.06,ME,1699932780
278,arraial do cabo,-22.9661,-42.0278,23.45,91,57,5.92,BR,1699932781
